TPB  |   BW   |  Gauss  |  Sobel  |   TH   |
     |        |         |         |        |
32   |        |         |         |        |
64   |        |         |         |        |
128  |        |         |         |        |
256  |        |         |         |        |
512  |        |         |         |        |
768  |        |         |         |        |
1024 |        |         |         |        |



GB/s
TPB  |   BW   |  Gauss  |  Sobel  |   TH   |
     |        |         |         |        |
32   | 23.35  |  11.39  |  7.28   | 42.18  |
64   | 24.31  |  11.48  |  7.26   | 50.59  |
128  | 24.32  |  11.49  |  7.27   | 50.35  |
256  | 24.35  |  11.50  |  7.28   | 48.72  |
512  | 24.05  |  11.46  |  7.22   | 43.79  |
768  | 19.79  |  11.14  |  7.04   | 35.91  |
1024 | 22.90  |  11.31  |  6.63   | 37.46  |
